Participant,Question,Scores
38,OIRA2B_4_TEXT,
38,OIRA3A,5
38,OIRA3B,The user did not understand the device
38,OIRA3B_4_TEXT,
38,OIRA4A,5
38,OIRA4B,The user was not able to hear the device
38,OIRA4B_4_TEXT,
38,OIRA5A,5
38,OIRA5B,The user was not able to hear the device
38,OIRA5B_4_TEXT,
38,OIRB1A,5
38,OIRB1B,The user did not understand the device
38,OIRB1B_4_TEXT,
38,OIRB2A,5
38,OIRB2B,The user was not able to hear the device
38,OIRB2B_4_TEXT,
38,OIRB3A,4
38,OIRB3B,The user was confused by the device's response
38,OIRB3B_4_TEXT,
38,OIRB4A,4
38,OIRB4B,The user was confused by the device's response
38,OIRB4B_4_TEXT,
38,OIRB5A,4
38,OIRB5B,The user was confused by the device's response
38,OIRB5B_4_TEXT,
38,RFCA1A,5
38,RFCA2A,5
38,RFCA3A,5
38,RFCA4A,5
38,RFCA5A,5
38,RFCB1A,5
38,RFCB2A,2
38,RFCB3A,2
38,RFCB4A,2
38,RFCB5A,2
38,RFCC1A,4
38,RFCC2A,4
38,RFCC3A,3
38,RFCC4A,2
38,RFCC5A,2
38,RFCD1A,4
38,RFCD2A,4
38,RFCD3A,5
38,RFCD4A,4
38,RFCD5A,4
38,FEEDBK,
39,DEM1,Yes
39,DEM2,25-34 years old
39,ATTN,Yes
39,EXP1,Yes
39,EXP1A,Mobile phone
39,EXP1A_4_TEXT,NA
39,EXP2,No
39,EXP3,No
39,OIRA1A,2
39,OIRA1B,The user was not able to hear the device
39,OIRA1B_4_TEXT,
39,OIRA2A,4
39,OIRA2B,Other (if other, please describe):
39,OIRA2B_4_TEXT,The device didn’t clearly read back what it was going to do. It said “there” instead of “the nearest park”
39,OIRA3A,4
39,OIRA3B,The user did not understand the device
39,OIRA3B_4_TEXT,
39,OIRA4A,4
39,OIRA4B,The user was confused by the device's response
39,OIRA4B_4_TEXT,
39,OIRA5A,2
39,OIRA5B,The user was confused by the device's response
39,OIRA5B_4_TEXT,
39,OIRB1A,5
39,OIRB1B,The user was not able to hear the device
39,OIRB1B_4_TEXT,
39,OIRB2A,4
39,OIRB2B,The user was not able to hear the device
39,OIRB2B_4_TEXT,
39,OIRB3A,2
39,OIRB3B,Other (if other, please describe):
39,OIRB3B_4_TEXT,The device gave the wrong response. 
39,OIRB4A,5
39,OIRB4B,The user was not able to hear the device
39,OIRB4B_4_TEXT,
39,OIRB5A,1
39,OIRB5B,The user was confused by the device's response
39,OIRB5B_4_TEXT,
39,RFCA1A,5
39,RFCA2A,5
39,RFCA3A,5
39,RFCA4A,5
39,RFCA5A,5
39,RFCB1A,1
39,RFCB2A,5
39,RFCB3A,1
39,RFCB4A,3
39,RFCB5A,4
39,RFCC1A,2
39,RFCC2A,4
39,RFCC3A,4
39,RFCC4A,5
39,RFCC5A,5
39,RFCD1A,3
39,RFCD2A,4
39,RFCD3A,1
39,RFCD4A,3
39,RFCD5A,5
39,FEEDBK,None. 
40,DEM1,Yes
40,DEM2,35-44 years old
40,ATTN,Yes
40,EXP1,Yes
40,EXP1A,Smarthub (Amazon Echo, Apple Homehub, Google Nest)
40,EXP1A_4_TEXT,NA
40,EXP2,No
40,EXP3,No
40,OIRA1A,4
40,OIRA1B,The user was not able to hear the device
40,OIRA1B_4_TEXT,
40,OIRA2A,4
40,OIRA2B,The user was not able to hear the device
40,OIRA2B_4_TEXT,
40,OIRA3A,4
40,OIRA3B,The user was confused by the device's response
40,OIRA3B_4_TEXT,
40,OIRA4A,5
40,OIRA4B,The user did not understand the device
40,OIRA4B_4_TEXT,
40,OIRA5A,4
40,OIRA5B,The user did not understand the device
40,OIRA5B_4_TEXT,
40,OIRB1A,4
40,OIRB1B,The user was not able to hear the device
40,OIRB1B_4_TEXT,
40,OIRB2A,4
40,OIRB2B,The user was confused by the device's response
40,OIRB2B_4_TEXT,
40,OIRB3A,4
40,OIRB3B,The user was not able to hear the device
40,OIRB3B_4_TEXT,
40,OIRB4A,4
40,OIRB4B,The user was confused by the device's response
40,OIRB4B_4_TEXT,
40,OIRB5A,4
40,OIRB5B,The user was confused by the device's response
40,OIRB5B_4_TEXT,
40,RFCA1A,3
40,RFCA2A,2
40,RFCA3A,4
40,RFCA4A,2
40,RFCA5A,3
40,RFCB1A,2
40,RFCB2A,3
40,RFCB3A,2
40,RFCB4A,1
40,RFCB5A,3
40,RFCC1A,3
40,RFCC2A,3
40,RFCC3A,4
40,RFCC4A,2
40,RFCC5A,3
40,RFCD1A,2
40,RFCD2A,2
40,RFCD3A,2
40,RFCD4A,3
40,RFCD5A,3
40,FEEDBK,
41,DEM1,Yes
41,DEM2,35-44 years old
41,ATTN,Yes
41,EXP1,Yes
41,EXP1A,Mobile phone
41,EXP1A_4_TEXT,NA
41,EXP2,No
41,EXP3,No
41,OIRA1A,4
41,OIRA1B,The user was not able to hear the device
41,OIRA1B_4_TEXT,
41,OIRA2A,4
41,OIRA2B,The user was not able to hear the device
41,OIRA2B_4_TEXT,
41,OIRA3A,4
41,OIRA3B,The user was not able to hear the device
41,OIRA3B_4_TEXT,
41,OIRA4A,4
41,OIRA4B,The user was not able to hear the device
41,OIRA4B_4_TEXT,
41,OIRA5A,4
41,OIRA5B,The user did not understand the device
41,OIRA5B_4_TEXT,
41,OIRB1A,4
41,OIRB1B,The user was not able to hear the device
41,OIRB1B_4_TEXT,
41,OIRB2A,4
41,OIRB2B,The user was not able to hear the device
41,OIRB2B_4_TEXT,
41,OIRB3A,4
41,OIRB3B,The user was not able to hear the device
41,OIRB3B_4_TEXT,
41,OIRB4A,4
41,OIRB4B,The user was not able to hear the device
41,OIRB4B_4_TEXT,
41,OIRB5A,4
41,OIRB5B,The user did not understand the device
41,OIRB5B_4_TEXT,
41,RFCA1A,3
41,RFCA2A,3
41,RFCA3A,5
41,RFCA4A,5
41,RFCA5A,3
41,RFCB1A,2
41,RFCB2A,2
41,RFCB3A,3
41,RFCB4A,3
41,RFCB5A,3
41,RFCC1A,3
41,RFCC2A,3
41,RFCC3A,3
41,RFCC4A,2
41,RFCC5A,2
41,RFCD1A,3
41,RFCD2A,3
41,RFCD3A,2
41,RFCD4A,2
41,RFCD5A,2
41,FEEDBK,
42,DEM1,Yes
42,DEM2,35-44 years old
42,ATTN,Yes
42,EXP1,Yes
42,EXP1A,Smarthub (Amazon Echo, Apple Homehub, Google Nest)
42,EXP1A_4_TEXT,NA
42,EXP2,No
42,EXP3,Yes
42,OIRA1A,4
42,OIRA1B,The user was not able to hear the device
42,OIRA1B_4_TEXT,
42,OIRA2A,3
42,OIRA2B,The user was not able to hear the device
42,OIRA2B_4_TEXT,
42,OIRA3A,4
42,OIRA3B,The user was not able to hear the device
42,OIRA3B_4_TEXT,
42,OIRA4A,4
42,OIRA4B,The user was not able to hear the device
42,OIRA4B_4_TEXT,
42,OIRA5A,4
42,OIRA5B,The user was not able to hear the device
42,OIRA5B_4_TEXT,
42,OIRB1A,4
42,OIRB1B,The user was not able to hear the device
42,OIRB1B_4_TEXT,
42,OIRB2A,2
42,OIRB2B,The user was not able to hear the device
42,OIRB2B_4_TEXT,
42,OIRB3A,4
42,OIRB3B,The user was not able to hear the device
42,OIRB3B_4_TEXT,
42,OIRB4A,4
42,OIRB4B,The user was not able to hear the device
42,OIRB4B_4_TEXT,
42,OIRB5A,4
42,OIRB5B,The user was not able to hear the device
42,OIRB5B_4_TEXT,
42,RFCA1A,5
42,RFCA2A,5
42,RFCA3A,4
42,RFCA4A,4
42,RFCA5A,5
42,RFCB1A,3
42,RFCB2A,3
42,RFCB3A,3
42,RFCB4A,4
42,RFCB5A,4
42,RFCC1A,4
42,RFCC2A,3
42,RFCC3A,4
42,RFCC4A,2
42,RFCC5A,4
42,RFCD1A,3
42,RFCD2A,3
42,RFCD3A,5
42,RFCD4A,3
42,RFCD5A,3
42,FEEDBK,No
43,DEM1,Yes
43,DEM2,18-24 years old
43,ATTN,Yes
43,EXP1,Yes
43,EXP1A,Mobile phone
43,EXP1A_4_TEXT,NA
43,EXP2,No
43,EXP3,Yes
43,OIRA1A,3
43,OIRA1B,The user did not understand the device
43,OIRA1B_4_TEXT,
43,OIRA2A,4
43,OIRA2B,The user did not understand the device
43,OIRA2B_4_TEXT,
43,OIRA3A,4
43,OIRA3B,The user did not understand the device
43,OIRA3B_4_TEXT,
43,OIRA4A,4
43,OIRA4B,The user was confused by the device's response
43,OIRA4B_4_TEXT,
43,OIRA5A,2
43,OIRA5B,The user was confused by the device's response
43,OIRA5B_4_TEXT,
43,OIRB1A,2
43,OIRB1B,The user was confused by the device's response
43,OIRB1B_4_TEXT,
43,OIRB2A,4
43,OIRB2B,The user was not able to hear the device
43,OIRB2B_4_TEXT,
43,OIRB3A,4
43,OIRB3B,The user was confused by the device's response
43,OIRB3B_4_TEXT,
43,OIRB4A,2
43,OIRB4B,The user was not able to hear the device
43,OIRB4B_4_TEXT,
43,OIRB5A,3
43,OIRB5B,The user was confused by the device's response
43,OIRB5B_4_TEXT,
43,RFCA1A,4
43,RFCA2A,2
43,RFCA3A,5
43,RFCA4A,5
43,RFCA5A,2
43,RFCB1A,2
43,RFCB2A,2
43,RFCB3A,3
43,RFCB4A,4
43,RFCB5A,3
43,RFCC1A,2
43,RFCC2A,2
43,RFCC3A,2
43,RFCC4A,2
43,RFCC5A,2
43,RFCD1A,1
43,RFCD2A,2
43,RFCD3A,1
43,RFCD4A,2
43,RFCD5A,1
43,FEEDBK,no comment
44,DEM1,Yes
44,DEM2,25-34 years old
44,ATTN,Yes
44,EXP1,Yes
44,EXP1A,Mobile phone
44,EXP1A_4_TEXT,NA
44,EXP2,No
44,EXP3,Yes
44,OIRA1A,5
44,OIRA1B,The user was not able to hear the device
44,OIRA1B_4_TEXT,
44,OIRA2A,4
44,OIRA2B,The user was not able to hear the device
44,OIRA2B_4_TEXT,
44,OIRA3A,4
44,OIRA3B,The user was not able to hear the device
44,OIRA3B_4_TEXT,
44,OIRA4A,5
44,OIRA4B,The user was confused by the device's response
44,OIRA4B_4_TEXT,
44,OIRA5A,4
44,OIRA5B,The user was confused by the device's response
44,OIRA5B_4_TEXT,
44,OIRB1A,5
44,OIRB1B,The user was not able to hear the device
44,OIRB1B_4_TEXT,
44,OIRB2A,4
44,OIRB2B,The user was not able to hear the device
44,OIRB2B_4_TEXT,
44,OIRB3A,4
44,OIRB3B,The user was confused by the device's response
44,OIRB3B_4_TEXT,
44,OIRB4A,4
44,OIRB4B,The user was not able to hear the device
44,OIRB4B_4_TEXT,
44,OIRB5A,4
44,OIRB5B,The user was confused by the device's response
44,OIRB5B_4_TEXT,
44,RFCA1A,5
44,RFCA2A,5
44,RFCA3A,5
44,RFCA4A,5
44,RFCA5A,2
44,RFCB1A,1
44,RFCB2A,4
44,RFCB3A,4
44,RFCB4A,4
44,RFCB5A,1
44,RFCC1A,5
44,RFCC2A,5
44,RFCC3A,5
44,RFCC4A,5
44,RFCC5A,2
44,RFCD1A,4
44,RFCD2A,4
44,RFCD3A,5
44,RFCD4A,5
44,RFCD5A,1
44,FEEDBK,Thank you 
45,DEM1,Yes
45,DEM2,18-24 years old
45,ATTN,Yes
45,EXP1,Yes
45,EXP1A,Smarthub (Amazon Echo, Apple Homehub, Google Nest)
45,EXP1A_4_TEXT,NA
45,EXP2,No
45,EXP3,Yes
45,OIRA1A,5
45,OIRA1B,The user was confused by the device's response
45,OIRA1B_4_TEXT,
45,OIRA2A,5
45,OIRA2B,The user was confused by the device's response
45,OIRA2B_4_TEXT,
45,OIRA3A,4
45,OIRA3B,The user was confused by the device's response
45,OIRA3B_4_TEXT,
45,OIRA4A,4
45,OIRA4B,The user was confused by the device's response
45,OIRA4B_4_TEXT,
45,OIRA5A,4
45,OIRA5B,The user was confused by the device's response
45,OIRA5B_4_TEXT,
45,OIRB1A,5
45,OIRB1B,The user was not able to hear the device
45,OIRB1B_4_TEXT,
45,OIRB2A,5
45,OIRB2B,The user was not able to hear the device
45,OIRB2B_4_TEXT,
45,OIRB3A,4
45,OIRB3B,The user was confused by the device's response
45,OIRB3B_4_TEXT,
45,OIRB4A,5
45,OIRB4B,The user was confused by the device's response
45,OIRB4B_4_TEXT,
45,OIRB5A,5
45,OIRB5B,The user did not understand the device
45,OIRB5B_4_TEXT,
45,RFCA1A,5
45,RFCA2A,2
45,RFCA3A,5
45,RFCA4A,5
45,RFCA5A,5
45,RFCB1A,4
45,RFCB2A,2
45,RFCB3A,1
45,RFCB4A,2
45,RFCB5A,1
45,RFCC1A,2
45,RFCC2A,2
45,RFCC3A,2
45,RFCC4A,4
45,RFCC5A,1
45,RFCD1A,1
45,RFCD2A,1
45,RFCD3A,2
45,RFCD4A,2
45,RFCD5A,1
45,FEEDBK,
46,DEM1,Yes
46,DEM2,18-24 years old
46,ATTN,Yes
46,EXP1,Yes
46,EXP1A,Smarthub (Amazon Echo, Apple Homehub, Google Nest)
46,EXP1A_4_TEXT,NA
46,EXP2,No
46,EXP3,Yes
46,OIRA1A,5
46,OIRA1B,The user did not understand the device
46,OIRA1B_4_TEXT,
46,OIRA2A,4
46,OIRA2B,The user did not understand the device
46,OIRA2B_4_TEXT,
46,OIRA3A,4
46,OIRA3B,The user was confused by the device's response
46,OIRA3B_4_TEXT,
46,OIRA4A,5
46,OIRA4B,The user was confused by the device's response
46,OIRA4B_4_TEXT,
46,OIRA5A,4
46,OIRA5B,The user was confused by the device's response
46,OIRA5B_4_TEXT,
46,OIRB1A,5
46,OIRB1B,The user was not able to hear the device
46,OIRB1B_4_TEXT,
46,OIRB2A,4
46,OIRB2B,The user was not able to hear the device
46,OIRB2B_4_TEXT,
46,OIRB3A,4
46,OIRB3B,The user was not able to hear the device
46,OIRB3B_4_TEXT,
46,OIRB4A,5
46,OIRB4B,The user was not able to hear the device
46,OIRB4B_4_TEXT,
46,OIRB5A,4
46,OIRB5B,The user was confused by the device's response
46,OIRB5B_4_TEXT,
46,RFCA1A,4
46,RFCA2A,4
46,RFCA3A,2
46,RFCA4A,2
46,RFCA5A,5
46,RFCB1A,1
46,RFCB2A,5
46,RFCB3A,4
46,RFCB4A,1
46,RFCB5A,2
46,RFCC1A,3
46,RFCC2A,2
46,RFCC3A,4
46,RFCC4A,5
46,RFCC5A,2
46,RFCD1A,1
46,RFCD2A,4
46,RFCD3A,4
46,RFCD4A,1
46,RFCD5A,4
46,FEEDBK,n/a
47,DEM1,Yes
47,DEM2,45-54 years old
47,ATTN,Yes
47,EXP1,Yes
47,EXP1A,Smarthub (Amazon Echo, Apple Homehub, Google Nest)
47,EXP1A_4_TEXT,NA
47,EXP2,No
47,EXP3,Yes
47,OIRA1A,2
47,OIRA1B,The user was confused by the device's response
47,OIRA1B_4_TEXT,
47,OIRA2A,2
47,OIRA2B,The user did not understand the device
47,OIRA2B_4_TEXT,
47,OIRA3A,2
47,OIRA3B,The user did not understand the device
47,OIRA3B_4_TEXT,
47,OIRA4A,2
47,OIRA4B,The user did not understand the device
47,OIRA4B_4_TEXT,
47,OIRA5A,2
47,OIRA5B,The user did not understand the device
47,OIRA5B_4_TEXT,
47,OIRB1A,2
47,OIRB1B,The user was not able to hear the device
47,OIRB1B_4_TEXT,
47,OIRB2A,2
47,OIRB2B,The user did not understand the device
47,OIRB2B_4_TEXT,
47,OIRB3A,2
47,OIRB3B,The user was not able to hear the device
47,OIRB3B_4_TEXT,
47,OIRB4A,2
47,OIRB4B,The user was not able to hear the device
47,OIRB4B_4_TEXT,
47,OIRB5A,2
47,OIRB5B,The user was confused by the device's response
47,OIRB5B_4_TEXT,
47,RFCA1A,4
47,RFCA2A,3
47,RFCA3A,4
47,RFCA4A,4
47,RFCA5A,4
47,RFCB1A,4
47,RFCB2A,4
47,RFCB3A,3
47,RFCB4A,2
47,RFCB5A,2
47,RFCC1A,3
47,RFCC2A,4
47,RFCC3A,3
47,RFCC4A,4
47,RFCC5A,4
47,RFCD1A,3
47,RFCD2A,4
47,RFCD3A,4
47,RFCD4A,4
47,RFCD5A,3
47,FEEDBK,Nothing thanks 
48,DEM1,Yes
48,DEM2,45-54 years old
48,ATTN,Yes
48,EXP1,Yes
48,EXP1A,Smarthub (Amazon Echo, Apple Homehub, Google Nest)
48,EXP1A_4_TEXT,NA
48,EXP2,No
48,EXP3,Yes
48,OIRA1A,5
48,OIRA1B,The user was confused by the device's response
48,OIRA1B_4_TEXT,
48,OIRA2A,4
48,OIRA2B,The user was confused by the device's response
48,OIRA2B_4_TEXT,
48,OIRA3A,4
48,OIRA3B,Other (if other, please describe):
48,OIRA3B_4_TEXT,the device was too vague for the user
48,OIRA4A,5
48,OIRA4B,The user was confused by the device's response
48,OIRA4B_4_TEXT,
48,OIRA5A,5
48,OIRA5B,The user was confused by the device's response
48,OIRA5B_4_TEXT,
48,OIRB1A,5
48,OIRB1B,The user was confused by the device's response
48,OIRB1B_4_TEXT,
48,OIRB2A,4
48,OIRB2B,The user was confused by the device's response
48,OIRB2B_4_TEXT,
48,OIRB3A,4
48,OIRB3B,Other (if other, please describe):
48,OIRB3B_4_TEXT,The device was too vague for the user
48,OIRB4A,5
48,OIRB4B,The user was confused by the device's response
48,OIRB4B_4_TEXT,
48,OIRB5A,5
48,OIRB5B,The user did not understand the device
48,OIRB5B_4_TEXT,
48,RFCA1A,4
48,RFCA2A,3
48,RFCA3A,5
48,RFCA4A,5
48,RFCA5A,5
48,RFCB1A,4
48,RFCB2A,4
48,RFCB3A,4
48,RFCB4A,4
48,RFCB5A,4
48,RFCC1A,4
48,RFCC2A,5
48,RFCC3A,5
48,RFCC4A,5
48,RFCC5A,5
48,RFCD1A,4
48,RFCD2A,5
48,RFCD3A,5
48,RFCD4A,4
48,RFCD5A,4
48,FEEDBK,Tghis was a fun survey, thank you !
49,DEM1,Yes
49,DEM2,25-34 years old
49,ATTN,Yes
49,EXP1,Yes
49,EXP1A,Smarthub (Amazon Echo, Apple Homehub, Google Nest)
49,EXP1A_4_TEXT,NA
49,EXP2,No
49,EXP3,Yes
49,OIRA1A,4
49,OIRA1B,Other (if other, please describe):
49,OIRA1B_4_TEXT,The user is clearly not fully understanding what is going on. Maybe hasn’t used devices like this before 
49,OIRA2A,4
49,OIRA2B,The user did not understand the device
49,OIRA2B_4_TEXT,
49,OIRA3A,4
49,OIRA3B,The user was confused by the device's response
49,OIRA3B_4_TEXT,
49,OIRA4A,2
49,OIRA4B,The user did not understand the device
49,OIRA4B_4_TEXT,
49,OIRA5A,4
49,OIRA5B,The user was confused by the device's response
49,OIRA5B_4_TEXT,
49,OIRB1A,5
49,OIRB1B,The user was not able to hear the device
49,OIRB1B_4_TEXT,
49,OIRB2A,2
49,OIRB2B,Other (if other, please describe):
49,OIRB2B_4_TEXT,I don’t know why he’d say ‘pardon’ to a device 
49,OIRB3A,4
49,OIRB3B,Other (if other, please describe):
49,OIRB3B_4_TEXT,The user was confused as he asked for a specific playlist but the device said ‘a playlist’ 
49,OIRB4A,4
49,OIRB4B,The user was not able to hear the device
49,OIRB4B_4_TEXT,
49,OIRB5A,2
49,OIRB5B,Other (if other, please describe):
49,OIRB5B_4_TEXT,The user maybe doesn’t agree with the type of response 
49,RFCA1A,4
49,RFCA2A,4
49,RFCA3A,5
49,RFCA4A,5
49,RFCA5A,5
49,RFCB1A,1
49,RFCB2A,4
49,RFCB3A,2
49,RFCB4A,4
49,RFCB5A,4
49,RFCC1A,1
49,RFCC2A,2
49,RFCC3A,4
49,RFCC4A,4
49,RFCC5A,2
49,RFCD1A,1
49,RFCD2A,2
49,RFCD3A,2
49,RFCD4A,2
49,RFCD5A,1
49,FEEDBK,Was an interesting study! 
50,DEM1,Yes
50,DEM2,25-34 years old
50,ATTN,Yes
50,EXP1,Yes
50,EXP1A,Mobile phone
50,EXP1A_4_TEXT,NA
50,EXP2,No
50,EXP3,Yes
50,OIRA1A,4
50,OIRA1B,The user was confused by the device's response
50,OIRA1B_4_TEXT,
50,OIRA2A,5
50,OIRA2B,The user did not understand the device
50,OIRA2B_4_TEXT,
50,OIRA3A,2
50,OIRA3B,The user did not understand the device
50,OIRA3B_4_TEXT,
50,OIRA4A,5
50,OIRA4B,The user did not understand the device
50,OIRA4B_4_TEXT,
50,OIRA5A,4
50,OIRA5B,The user did not understand the device
50,OIRA5B_4_TEXT,
50,OIRB1A,4
50,OIRB1B,The user was not able to hear the device
50,OIRB1B_4_TEXT,
50,OIRB2A,4
50,OIRB2B,The user was confused by the device's response
50,OIRB2B_4_TEXT,
50,OIRB3A,2
50,OIRB3B,The user was confused by the device's response
50,OIRB3B_4_TEXT,
50,OIRB4A,5
50,OIRB4B,The user did not understand the device
50,OIRB4B_4_TEXT,
50,OIRB5A,4
50,OIRB5B,The user did not understand the device
50,OIRB5B_4_TEXT,
50,RFCA1A,5
50,RFCA2A,4
50,RFCA3A,3
50,RFCA4A,5
50,RFCA5A,4
50,RFCB1A,4
50,RFCB2A,4
50,RFCB3A,4
50,RFCB4A,3
50,RFCB5A,3
50,RFCC1A,3
50,RFCC2A,3
50,RFCC3A,4
50,RFCC4A,2
50,RFCC5A,2
50,RFCD1A,3
50,RFCD2A,3
50,RFCD3A,4
50,RFCD4A,2
50,RFCD5A,3
50,FEEDBK,
51,DEM1,Yes
51,DEM2,35-44 years old
51,ATTN,Yes
51,EXP1,Yes
51,EXP1A,Smarthub (Amazon Echo, Apple Homehub, Google Nest)
51,EXP1A_4_TEXT,NA
51,EXP2,No
51,EXP3,No
51,OIRA1A,2
51,OIRA1B,The user was confused by the device's response
51,OIRA1B_4_TEXT,
51,OIRA2A,2
51,OIRA2B,The user was confused by the device's response
51,OIRA2B_4_TEXT,
51,OIRA3A,2
51,OIRA3B,The user did not understand the device
51,OIRA3B_4_TEXT,
51,OIRA4A,2
51,OIRA4B,The user was confused by the device's response
51,OIRA4B_4_TEXT,
51,OIRA5A,2
51,OIRA5B,The user did not understand the device
51,OIRA5B_4_TEXT,
51,OIRB1A,4
51,OIRB1B,The user was not able to hear the device
51,OIRB1B_4_TEXT,
51,OIRB2A,4
51,OIRB2B,The user was not able to hear the device
51,OIRB2B_4_TEXT,
51,OIRB3A,4
51,OIRB3B,The user was not able to hear the device
51,OIRB3B_4_TEXT,
51,OIRB4A,2
51,OIRB4B,The user was confused by the device's response
51,OIRB4B_4_TEXT,
51,OIRB5A,2
51,OIRB5B,The user was confused by the device's response
51,OIRB5B_4_TEXT,
51,RFCA1A,2
51,RFCA2A,2
51,RFCA3A,5
51,RFCA4A,5
51,RFCA5A,5
51,RFCB1A,2
51,RFCB2A,2
51,RFCB3A,4
51,RFCB4A,4
51,RFCB5A,4
51,RFCC1A,2
51,RFCC2A,2
51,RFCC3A,4
51,RFCC4A,2
51,RFCC5A,2
51,RFCD1A,1
51,RFCD2A,1
51,RFCD3A,4
51,RFCD4A,2
51,RFCD5A,2
51,FEEDBK,
52,DEM1,Yes
52,DEM2,35-44 years old
52,ATTN,Yes
52,EXP1,Yes
52,EXP1A,Mobile phone
52,EXP1A_4_TEXT,NA
52,EXP2,No
52,EXP3,No
52,OIRA1A,5
52,OIRA1B,The user was not able to hear the device
52,OIRA1B_4_TEXT,
52,OIRA2A,5
52,OIRA2B,The user was confused by the device's response
52,OIRA2B_4_TEXT,
52,OIRA3A,4
52,OIRA3B,The user was confused by the device's response
52,OIRA3B_4_TEXT,
52,OIRA4A,4
52,OIRA4B,The user was confused by the device's response
52,OIRA4B_4_TEXT,
52,OIRA5A,5
52,OIRA5B,The user was confused by the device's response
52,OIRA5B_4_TEXT,
52,OIRB1A,5
52,OIRB1B,The user was not able to hear the device
52,OIRB1B_4_TEXT,
52,OIRB2A,5
52,OIRB2B,The user was not able to hear the device
52,OIRB2B_4_TEXT,
52,OIRB3A,4
52,OIRB3B,The user was confused by the device's response
52,OIRB3B_4_TEXT,
52,OIRB4A,4
52,OIRB4B,The user did not understand the device
52,OIRB4B_4_TEXT,
52,OIRB5A,4
52,OIRB5B,The user was not able to hear the device
52,OIRB5B_4_TEXT,
52,RFCA1A,2
52,RFCA2A,3
52,RFCA3A,5
52,RFCA4A,4
52,RFCA5A,5
52,RFCB1A,2
52,RFCB2A,3
52,RFCB3A,5
52,RFCB4A,4
52,RFCB5A,4
52,RFCC1A,2
52,RFCC2A,3
52,RFCC3A,4
52,RFCC4A,5
52,RFCC5A,4
52,RFCD1A,2
52,RFCD2A,2
52,RFCD3A,4
52,RFCD4A,4
52,RFCD5A,4
52,FEEDBK,I enjoyed the study. I thought it was composed well
53,DEM1,Yes
53,DEM2,25-34 years old
53,ATTN,Yes
53,EXP1,Yes
53,EXP1A,Mobile phone
53,EXP1A_4_TEXT,NA
53,EXP2,No
53,EXP3,Yes
53,OIRA1A,4
53,OIRA1B,The user was confused by the device's response
53,OIRA1B_4_TEXT,
53,OIRA2A,5
53,OIRA2B,The user did not understand the device
53,OIRA2B_4_TEXT,
53,OIRA3A,4
53,OIRA3B,The user was confused by the device's response
53,OIRA3B_4_TEXT,
53,OIRA4A,4
53,OIRA4B,The user was confused by the device's response
53,OIRA4B_4_TEXT,
53,OIRA5A,4
53,OIRA5B,The user was confused by the device's response
53,OIRA5B_4_TEXT,
53,OIRB1A,4
53,OIRB1B,The user was not able to hear the device
53,OIRB1B_4_TEXT,
53,OIRB2A,5
53,OIRB2B,The user was not able to hear the device
53,OIRB2B_4_TEXT,
53,OIRB3A,2
53,OIRB3B,The user did not understand the device
53,OIRB3B_4_TEXT,
53,OIRB4A,4
53,OIRB4B,The user was confused by the device's response
53,OIRB4B_4_TEXT,
53,OIRB5A,2
53,OIRB5B,The user was confused by the device's response
53,OIRB5B_4_TEXT,
53,RFCA1A,1
53,RFCA2A,1
53,RFCA3A,5
53,RFCA4A,4
53,RFCA5A,5
53,RFCB1A,1
53,RFCB2A,1
53,RFCB3A,4
53,RFCB4A,4
53,RFCB5A,2
53,RFCC1A,1
53,RFCC2A,1
53,RFCC3A,4
53,RFCC4A,4
53,RFCC5A,1
53,RFCD1A,1
53,RFCD2A,1
53,RFCD3A,4
53,RFCD4A,2
53,RFCD5A,2
53,FEEDBK,N/a
54,DEM1,Yes
54,DEM2,25-34 years old
54,ATTN,Yes
54,EXP1,Yes
54,EXP1A,Mobile phone
54,EXP1A_4_TEXT,NA
54,EXP2,No
54,EXP3,No
54,OIRA1A,4
54,OIRA1B,The user was not able to hear the device
54,OIRA1B_4_TEXT,
54,OIRA2A,4
54,OIRA2B,The user did not understand the device
54,OIRA2B_4_TEXT,
54,OIRA3A,4
54,OIRA3B,The user was confused by the device's response
54,OIRA3B_4_TEXT,
54,OIRA4A,4
54,OIRA4B,The user was not able to hear the device
54,OIRA4B_4_TEXT,
54,OIRA5A,4
54,OIRA5B,The user was not able to hear the device
54,OIRA5B_4_TEXT,
54,OIRB1A,5
54,OIRB1B,The user was not able to hear the device
54,OIRB1B_4_TEXT,
54,OIRB2A,5
54,OIRB2B,The user was not able to hear the device
54,OIRB2B_4_TEXT,
54,OIRB3A,4
54,OIRB3B,The user did not understand the device
54,OIRB3B_4_TEXT,
54,OIRB4A,4
54,OIRB4B,The user was not able to hear the device
54,OIRB4B_4_TEXT,
54,OIRB5A,4
54,OIRB5B,The user was not able to hear the device
54,OIRB5B_4_TEXT,
54,RFCA1A,4
54,RFCA2A,2
54,RFCA3A,4
54,RFCA4A,5
54,RFCA5A,4
54,RFCB1A,2
54,RFCB2A,2
54,RFCB3A,2
54,RFCB4A,1
54,RFCB5A,2
54,RFCC1A,2
54,RFCC2A,1
54,RFCC3A,2
54,RFCC4A,2
54,RFCC5A,3
54,RFCD1A,2
54,RFCD2A,1
54,RFCD3A,4
54,RFCD4A,2
54,RFCD5A,1
54,FEEDBK,n/a
55,DEM1,Yes
55,DEM2,35-44 years old
55,ATTN,Yes
55,EXP1,Yes
55,EXP1A,Mobile phone
